iter	Passed	Remaining
0	141	141732
1	146	72929
2	149	49784
3	153	38116
4	156	31185
5	160	26605
6	163	23246
7	167	20753
8	171	18878
9	174	17298
10	176	15906
11	179	14741
12	180	13717
13	182	12833
14	183	12068
15	185	11406
16	187	10814
17	188	10279
18	189	9789
19	190	9353
20	191	8940
21	192	8551
22	192	8196
23	193	7870
24	194	7570
25	194	7293
26	195	7036
27	195	6798
28	196	6576
29	196	6368
30	197	6175
31	198	5993
32	198	5826
33	199	5670
34	200	5528
35	201	5399
36	202	5265
37	203	5145
38	203	5025
39	204	4909
40	205	4797
41	205	4692
42	206	4591
43	206	4494
44	207	4402
45	208	4314
46	208	4229
47	209	4148
48	209	4071
49	210	3996
50	211	3926
51	211	3857
52	212	3791
53	212	3729
54	213	3672
55	214	3618
56	215	3565
57	216	3509
58	216	3455
59	217	3403
60	217	3352
61	218	3303
62	218	3256
63	219	3210
64	220	3165
65	220	3122
66	221	3080
67	221	3039
68	222	3000
69	222	2961
70	223	2924
71	224	2888
72	224	2853
73	225	2819
74	225	2786
75	226	2754
76	227	2722
77	227	2693
78	228	2668
79	229	2643
80	230	2615
81	231	2587
82	231	2557
83	232	2530
84	232	2504
85	233	2478
86	233	2453
87	234	2429
88	234	2405
89	235	2381
90	236	2358
91	236	2337
92	237	2319
93	238	2299
94	239	2277
95	239	2257
96	240	2236
97	240	2216
98	241	2197
99	242	2178
100	242	2161
101	243	2144
102	244	2127
103	244	2109
104	245	2092
105	246	2074
106	246	2058
107	247	2042
108	247	2025
109	248	2009
110	248	1994
111	249	1978
112	250	1963
113	250	1948
114	251	1933
115	251	1919
116	252	1904
117	252	1890
118	253	1876
119	254	1863
120	254	1850
121	255	1836
122	255	1823
123	256	1810
124	256	1798
125	257	1787
126	258	1776
127	259	1766
128	259	1754
129	260	1743
130	261	1731
131	261	1720
132	262	1708
133	262	1697
134	263	1686
135	263	1676
136	264	1665
137	264	1655
138	265	1644
139	266	1634
140	266	1624
141	267	1613
142	267	1603
143	268	1594
144	268	1584
145	269	1575
146	269	1566
147	270	1557
148	271	1548
149	271	1540
150	272	1533
151	273	1526
152	274	1519
153	274	1510
154	275	1502
155	276	1494
156	276	1485
157	277	1477
158	277	1469
159	278	1461
160	278	1452
161	279	1445
162	279	1437
163	280	1429
164	281	1422
165	281	1415
166	282	1407
167	282	1400
168	283	1393
169	284	1386
170	284	1379
171	285	1373
172	285	1366
173	286	1360
174	287	1355
175	288	1351
176	289	1345
177	289	1338
178	290	1332
179	291	1325
180	291	1319
181	292	1313
182	292	1306
183	293	1300
184	293	1294
185	294	1288
186	294	1282
187	295	1276
188	296	1270
189	296	1265
190	297	1259
191	297	1253
192	298	1248
193	299	1242
194	299	1237
195	300	1231
196	300	1226
197	301	1221
198	302	1217
199	303	1212
200	303	1208
201	304	1202
202	305	1197
203	305	1192
204	306	1187
205	306	1182
206	307	1177
207	307	1172
208	308	1167
209	309	1162
210	309	1157
211	310	1153
212	310	1148
213	311	1143
214	311	1139
215	312	1134
216	313	1129
217	313	1125
218	314	1120
219	314	1116
220	315	1111
221	316	1108
222	317	1105
223	317	1101
224	318	1097
225	319	1093
226	319	1089
227	320	1084
228	320	1080
229	321	1076
230	322	1072
231	322	1068
232	323	1064
233	323	1060
234	324	1055
235	324	1052
236	325	1048
237	326	1044
238	326	1040
239	327	1036
240	327	1032
241	328	1028
242	329	1024
243	329	1021
244	330	1017
245	330	1014
246	331	1011
247	332	1008
248	333	1005
249	333	1001
250	334	998
251	335	994
252	335	991
253	336	987
254	336	984
255	337	980
256	337	977
257	338	973
258	339	970
259	339	966
260	340	963
261	340	960
262	341	956
263	342	953
264	342	950
265	343	947
266	343	943
267	344	940
268	344	937
269	345	935
270	346	933
271	347	930
272	348	927
273	348	924
274	349	921
275	350	918
276	350	915
277	351	912
278	351	909
279	352	906
280	352	902
281	353	900
282	354	897
283	354	893
284	355	890
285	355	888
286	356	885
287	356	882
288	357	879
289	358	876
290	358	873
291	359	871
292	359	868
293	360	866
294	361	864
295	362	862
296	363	859
297	363	856
298	364	854
299	364	851
300	365	848
301	366	846
302	366	843
303	367	840
304	367	838
305	368	835
306	369	833
307	369	830
308	370	828
309	371	826
310	372	824
311	372	822
312	373	819
313	374	817
314	374	814
315	375	812
316	376	810
317	377	808
318	377	806
319	378	803
320	378	801
321	379	798
322	379	796
323	380	793
324	381	791
325	381	789
326	382	786
327	382	784
328	383	782
329	384	779
330	384	777
331	385	775
332	385	772
333	386	770
334	386	768
335	387	765
336	388	763
337	388	761
338	389	758
339	390	757
340	390	755
341	391	753
342	392	751
343	392	749
344	393	747
345	394	744
346	394	742
347	395	740
348	395	738
349	396	735
350	396	733
351	397	731
352	397	729
353	398	727
354	399	725
355	399	722
